,x,y,z,driver_number,date,session_key,rpm,speed,n_gear,throttle,brake,drs
0,-7654,-6748,502,4,2023-05-28 13:07:18,9094,10671,265,7,99,0,0
1,-7654,-6748,502,4,2023-05-28 13:07:18,9094,10729,268,7,98,0,0
2,-7654,-6748,502,4,2023-05-28 13:07:18,9094,11149,262,7,0,0,0
3,-7669,-6498,502,4,2023-05-28 13:07:18,9094,10671,265,7,99,0,0
4,-7669,-6498,502,4,2023-05-28 13:07:18,9094,10729,268,7,98,0,0
5,-7669,-6498,502,4,2023-05-28 13:07:18,9094,11149,262,7,0,0,0
6,-7681,-6247,503,4,2023-05-28 13:07:18,9094,10671,265,7,99,0,0
7,-7681,-6247,503,4,2023-05-28 13:07:18,9094,10729,268,7,98,0,0
8,-7681,-6247,503,4,2023-05-28 13:07:18,9094,11149,262,7,0,0,0
9,-7670,-6013,503,4,2023-05-28 13:07:19,9094,11537,257,6,0,0,0
10,-7670,-6013,503,4,2023-05-28 13:07:19,9094,11317,248,6,0,100,0
11,-7670,-6013,503,4,2023-05-28 13:07:19,9094,10831,235,6,0,100,0
12,-7670,-6013,503,4,2023-05-28 13:07:19,9094,9513,202,6,0,100,0
13,-7659,-5858,503,4,2023-05-28 13:07:19,9094,11537,257,6,0,0,0
14,-7659,-5858,503,4,2023-05-28 13:07:19,9094,11317,248,6,0,100,0
15,-7659,-5858,503,4,2023-05-28 13:07:19,9094,10831,235,6,0,100,0
16,-7659,-5858,503,4,2023-05-28 13:07:19,9094,9513,202,6,0,100,0
17,-7645,-5721,503,4,2023-05-28 13:07:19,9094,11537,257,6,0,0,0
18,-7645,-5721,503,4,2023-05-28 13:07:19,9094,11317,248,6,0,100,0
19,-7645,-5721,503,4,2023-05-28 13:07:19,9094,10831,235,6,0,100,0
20,-7645,-5721,503,4,2023-05-28 13:07:19,9094,9513,202,6,0,100,0
21,-7632,-5616,506,4,2023-05-28 13:07:19,9094,11537,257,6,0,0,0
22,-7632,-5616,506,4,2023-05-28 13:07:19,9094,11317,248,6,0,100,0
23,-7632,-5616,506,4,2023-05-28 13:07:19,9094,10831,235,6,0,100,0
24,-7632,-5616,506,4,2023-05-28 13:07:19,9094,9513,202,6,0,100,0
25,-7613,-5495,514,4,2023-05-28 13:07:19,9094,11537,257,6,0,0,0
26,-7613,-5495,514,4,2023-05-28 13:07:19,9094,11317,248,6,0,100,0
