,session_key,driver_number,full_name,team_name
0,7953,4,Lando NORRIS,
1,7953,16,Charles LECLERC,
2,7953,23,Alexander ALBON,
3,7779,4,Lando NORRIS,
4,7779,16,Charles LECLERC,
5,7779,23,Alexander ALBON,
6,7787,4,Lando NORRIS,McLaren
7,7787,16,Charles LECLERC,Ferrari
8,7787,23,Alexander ALBON,Williams
9,9070,4,Lando NORRIS,
10,9070,16,Charles LECLERC,
11,9070,23,Alexander ALBON,
12,9078,4,Lando NORRIS,McLaren
13,9078,16,Charles LECLERC,Ferrari
14,9078,23,Alexander ALBON,Williams
15,9094,4,Lando NORRIS,McLaren
16,9094,16,Charles LECLERC,Ferrari
17,9094,23,Alexander ALBON,Williams
18,9102,4,Lando NORRIS,McLaren
19,9102,16,Charles LECLERC,Ferrari
20,9102,23,Alexander ALBON,Williams
21,9110,4,Lando NORRIS,McLaren
22,9110,16,Charles LECLERC,Ferrari
23,9110,23,Alexander ALBON,Williams
24,9118,4,Lando NORRIS,McLaren
25,9118,16,Charles LECLERC,Ferrari
26,9118,23,Alexander ALBON,Williams
27,9126,4,Lando NORRIS,
28,9126,16,Charles LECLERC,
29,9126,23,Alexander ALBON,
30,9133,4,Lando NORRIS,
31,9133,16,Charles LECLERC,
32,9133,23,Alexander ALBON,
33,9141,4,Lando NORRIS,
34,9141,16,Charles LECLERC,
35,9141,23,Alexander ALBON,
36,9149,4,Lando NORRIS,McLaren
37,9149,16,Charles LECLERC,Ferrari
38,9149,23,Alexander ALBON,Williams
39,9157,4,Lando NORRIS,
40,9157,16,Charles LECLERC,
41,9157,23,Alexander ALBON,
42,9165,4,Lando NORRIS,McLaren
43,9165,16,Charles LECLERC,Ferrari
44,9165,23,Alexander ALBON,Williams
45,9173,4,Lando NORRIS,McLaren
46,9173,16,Charles LECLERC,Ferrari
47,9173,23,Alexander ALBON,Williams
48,9221,4,Lando NORRIS,McLaren
49,9221,16,Charles LECLERC,Ferrari
50,9221,23,Alexander ALBON,Williams
51,9213,4,Lando NORRIS,McLaren
52,9213,16,Charles LECLERC,Ferrari
53,9213,23,Alexander ALBON,Williams
54,9181,4,Lando NORRIS,McLaren
55,9181,16,Charles LECLERC,Ferrari
56,9181,23,Alexander ALBON,Williams
57,9205,4,Lando NORRIS,McLaren
58,9205,16,Charles LECLERC,Ferrari
59,9205,23,Alexander ALBON,Williams
60,9189,4,Lando NORRIS,McLaren
61,9189,16,Charles LECLERC,Ferrari
62,9189,23,Alexander ALBON,Williams
63,9197,4,Lando NORRIS,McLaren
64,9197,16,Charles LECLERC,Ferrari
65,9197,23,Alexander ALBON,Williams
66,9472,4,Lando NORRIS,McLaren
67,9472,16,Charles LECLERC,Ferrari
68,9472,23,Alexander ALBON,Williams
69,9480,4,Lando NORRIS,McLaren
70,9480,16,Charles LECLERC,Ferrari
71,9480,23,Alexander ALBON,Williams
72,9488,4,Lando NORRIS,McLaren
73,9488,16,Charles LECLERC,Ferrari
74,9488,23,Alexander ALBON,Williams
75,9496,4,Lando NORRIS,McLaren
76,9496,16,Charles LECLERC,Ferrari
77,9496,23,Alexander ALBON,Williams
78,9673,4,Lando NORRIS,McLaren
79,9673,16,Charles LECLERC,Ferrari
80,9673,23,Alexander ALBON,Williams
81,9507,4,Lando NORRIS,McLaren
82,9507,16,Charles LECLERC,Ferrari
83,9507,23,Alexander ALBON,Williams
84,9515,4,Lando NORRIS,McLaren
85,9515,16,Charles LECLERC,Ferrari
86,9515,23,Alexander ALBON,Williams
87,9523,4,Lando NORRIS,McLaren
88,9523,16,Charles LECLERC,Ferrari
89,9523,23,Alexander ALBON,Williams
90,9531,4,Lando NORRIS,McLaren
91,9531,16,Charles LECLERC,Ferrari
92,9531,23,Alexander ALBON,Williams
93,9539,4,Lando NORRIS,McLaren
94,9539,16,Charles LECLERC,Ferrari
95,9539,23,Alexander ALBON,Williams
96,9550,4,Lando NORRIS,McLaren
97,9550,16,Charles LECLERC,Ferrari
98,9550,23,Alexander ALBON,Williams
99,9558,4,Lando NORRIS,McLaren
100,9558,16,Charles LECLERC,Ferrari
101,9558,23,Alexander ALBON,Williams
102,9566,4,Lando NORRIS,McLaren
103,9566,16,Charles LECLERC,Ferrari
104,9566,23,Alexander ALBON,Williams
105,9574,4,Lando NORRIS,McLaren
106,9574,16,Charles LECLERC,Ferrari
107,9574,23,Alexander ALBON,Williams
108,9582,4,Lando NORRIS,McLaren
109,9582,16,Charles LECLERC,Ferrari
110,9582,23,Alexander ALBON,Williams
111,9590,4,Lando NORRIS,McLaren
112,9590,16,Charles LECLERC,Ferrari
113,9590,23,Alexander ALBON,Williams
114,9598,4,Lando NORRIS,McLaren
115,9598,16,Charles LECLERC,Ferrari
116,9598,23,Alexander ALBON,Williams
117,9606,4,Lando NORRIS,McLaren
118,9606,16,Charles LECLERC,Ferrari
119,9606,23,Alexander ALBON,Williams
120,9617,4,Lando NORRIS,McLaren
121,9617,16,Charles LECLERC,Ferrari
122,9617,23,Alexander ALBON,Williams
123,9625,4,Lando NORRIS,McLaren
124,9625,16,Charles LECLERC,Ferrari
125,9625,23,Alexander ALBON,Williams
126,9636,4,Lando NORRIS,McLaren
127,9636,16,Charles LECLERC,Ferrari
128,9636,23,Alexander ALBON,Williams
129,9644,4,Lando NORRIS,McLaren
130,9644,16,Charles LECLERC,Ferrari
131,9644,23,Alexander ALBON,Williams
132,9655,4,Lando NORRIS,McLaren
133,9655,16,Charles LECLERC,Ferrari
134,9655,23,Alexander ALBON,Williams
135,9662,4,Lando NORRIS,McLaren
136,9662,16,Charles LECLERC,Ferrari
137,9662,23,Alexander ALBON,Williams
