,session_key,date_start,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,lap_number,rainfall,humidity,pressure,air_temperature,wind_direction,meeting_key,track_temperature,wind_speed
0,7787,2023-04-02 05:05,4,198.0,196.0,261.0,127.813,44.951,31.491,51.371,2,0,53.0,1018.5,63.5,127,1143,93.56,1.3422
1,7787,2023-04-02 05:07,4,126.0,156.0,110.0,124.797,47.448,29.013,48.336,3,0,53.0,1018.7,63.68000000000001,138,1143,93.56,2.6844
2,7787,2023-04-02 05:09,4,275.0,303.0,285.0,85.444,29.98,18.704,36.76,4,0,52.0,1018.5,64.03999999999999,0,1143,93.92,1.7896
3,7787,2023-04-02 05:10,4,272.0,296.0,289.0,84.732,29.49,18.751,36.491,5,0,52.0,1018.5,64.03999999999999,264,1143,93.74,1.7896
4,7787,2023-04-02 05:12,4,273.0,310.0,297.0,83.858,29.139,18.374,36.345,6,0,52.0,1018.5,63.86,157,1143,92.66,2.237
5,7787,2023-04-02 05:13,4,276.0,131.0,298.0,102.393,29.226,20.817,52.35,7,0,51.0,1018.5,64.03999999999999,140,1143,92.66,2.4607
6,7787,2023-04-02 05:15,4,96.0,148.0,262.0,,43.368,44.336,,8,0,52.0,1018.5,64.03999999999999,156,1143,92.66,3.8029
7,7787,2023-04-02 05:33,4,169.0,80.0,210.0,,41.723,54.404,,9,0,51.0,1018.4,63.68000000000001,266,1143,91.22,3.3555
8,7787,2023-04-02 05:36,4,257.0,289.0,255.0,90.926,34.757,18.999,37.17,10,0,52.0,1018.4,64.22,247,1143,91.04,1.3422
9,7787,2023-04-02 05:38,4,270.0,300.0,280.0,85.817,30.68,18.69,36.447,11,0,52.0,1018.4,64.4,165,1143,91.58,1.3422
10,7787,2023-04-02 05:39,4,275.0,316.0,283.0,83.775,29.319,18.354,36.102,12,0,51.0,1018.5,64.4,74,1143,91.4,1.3422
11,7787,2023-04-02 05:41,4,269.0,317.0,306.0,83.54,29.079,18.271,36.19,13,0,52.0,1018.4,64.4,140,1143,91.22,2.6844
12,7787,2023-04-02 05:42,4,275.0,320.0,305.0,83.307,29.102,18.12,36.085,14,0,51.0,1018.4,64.4,163,1143,91.04,4.474
13,7787,2023-04-02 05:43,4,269.0,298.0,289.0,83.568,29.122,18.563,35.883,15,0,50.0,1018.5,64.4,128,1143,91.04,2.6844
14,7787,2023-04-02 05:45,4,267.0,296.0,290.0,83.111,29.019,18.485,35.607,16,0,51.0,1018.4,64.4,346,1143,90.5,2.4607
15,7787,2023-04-02 05:46,4,269.0,298.0,287.0,82.986,28.841,18.512,35.633,17,0,51.0,1018.5,64.58000000000001,80,1143,89.96000000000001,1.7896
16,7787,2023-04-02 05:48,4,270.0,272.0,291.0,105.957,28.932,27.675,49.35,18,0,51.0,1018.4,64.22,0,1143,89.96000000000001,2.4607
17,7787,2023-04-02 05:49,4,158.0,288.0,266.0,98.45,38.503,24.259,35.688,19,0,51.0,1018.4,64.4,134,1143,90.14,3.8029
18,7787,2023-04-02 05:51,4,271.0,297.0,298.0,82.741,28.775,18.508,35.458,20,0,51.0,1018.4,64.22,126,1143,89.6,4.0266
19,7787,2023-04-02 05:52,4,268.0,294.0,288.0,82.828,28.836,18.537,35.455,21,0,51.0,1018.4,64.22,251,1143,89.06,2.9081
20,7787,2023-04-02 05:54,4,272.0,298.0,290.0,82.532,28.671,18.5,35.361,22,0,54.0,1018.2,64.22,321,1143,89.06,3.5792
21,7787,2023-04-02 05:55,4,271.0,294.0,288.0,82.65,28.778,18.567,35.305,23,0,53.0,1018.2,64.03999999999999,120,1143,89.06,3.8029
22,7787,2023-04-02 05:57,4,272.0,297.0,287.0,82.536,28.819,18.366,35.351,24,0,55.0,1018.2,63.86,164,1143,89.06,3.3555
23,7787,2023-04-02 05:58,4,271.0,296.0,289.0,82.56,28.687,18.476,35.397,25,0,53.0,1018.2,64.03999999999999,130,1143,88.52,3.8029
24,7787,2023-04-02 05:59,4,275.0,299.0,288.0,82.458,28.708,18.375,35.375,26,0,53.0,1018.2,63.86,148,1143,88.88,4.9214
25,7787,2023-04-02 06:01,4,274.0,297.0,289.0,82.415,28.68,18.434,35.301,27,0,54.0,1018.2,64.03999999999999,133,1143,88.52,3.5792
26,7787,2023-04-02 06:02,4,272.0,297.0,288.0,82.426,28.695,18.414,35.317,28,0,54.0,1018.4,64.03999999999999,323,1143,88.52,2.9081
